,ref,res100,cfe80,cfe85,cfe90,cfe95,cfe98,cfe99,cfe100
ci_average cost,151.41242416057958,104.27737887108783,94.10989771308128,94.10990971613117,94.10937320726545,94.10987940603526,94.27597553688234,94.49792511552381,99.51245832955247
ci_average_revenue,0.0,30.885787453523267,31.15610758580377,31.15609116640363,31.155442933018467,31.156029202011197,31.10706956522314,30.36214410362472,28.681762951514532
ci_cap_H2_Electrolysis,0.0,0.0,0.007694766276908547,0.00698652719283438,0.007978806874341975,0.008035599942867256,0.007825265294564083,0.006052840948856916,2.961420666297844
ci_cap_H2_Fuel_Cell,0.0,0.0,0.0021717622378151996,0.0019907008313836206,0.002236167306431329,0.002295801784818581,0.0024158781638398347,0.0024796143161999974,21.80679913151804
ci_cap_adv_geothermal,0.0,0.0,0.0014797015380071297,0.0015162364305332133,0.0014980027333247633,0.001713388161771104,0.0018816963192280702,0.0022496147023984125,0.009317097524252343
ci_cap_allam_ccs,0.0,0.0,233.7063977521001,233.7099165046121,233.6435569392043,233.68294756622464,349.5020968347176,506.5024365067289,870.1798898816788
ci_cap_battery_charger,0.0,0.0,1863.6292463133045,1863.6431739610973,1863.4358850020392,1863.5984143883213,1762.3765009485048,1467.77786016681,532.5829599708226
ci_cap_battery_discharger,0.0,0.0,1902.0584349326846,1902.0726497771957,1901.8610863914928,1902.0269672343234,1798.7177952844315,1498.044348177386,543.5651502668132
ci_cap_onwind,0.0,5072.614375650527,3046.596107797821,3046.576454458999,3046.882864291137,3046.69918295481,3083.9544860131746,3053.11580629338,2934.85299452939
ci_cap_solar,0.0,2831.251972647854,4338.251412380431,4338.332530030107,4337.509324538586,4338.044402342186,4139.297251965989,3915.622964429816,3959.8288233316175
ci_capital_cost_adv_geothermal,0.0,0.0,1192.4382521785437,1221.8804080919642,1207.1865272845685,1380.7578977564724,1516.3913886668595,1812.8835815200675,7508.313806417743
ci_capital_cost_allam_ccs,0.0,0.0,56679562.114004664,56680415.498223014,56664321.66790614,56673874.86590321,84762873.4046509,122839325.69672184,211040072.4725695
ci_capital_cost_battery_inverter,0.0,0.0,44364377.2483896,44364708.80114994,44359774.21150596,44363643.28311515,41954018.53477456,34940989.91743727,12678332.559413683
ci_capital_cost_battery_storage,0.0,0.0,78503205.04395337,78509466.02774136,78492581.21214512,78503127.43949041,73002493.40792315,67118106.7816093,58405220.468746625
ci_capital_cost_grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_capital_cost_hydrogen_electrolysis,0.0,0.0,512.1985140349502,465.0549110469197,531.1055433969195,534.8859474091153,520.8851200371068,402.9045234288742,197125.5799233388
ci_capital_cost_hydrogen_fuel_cell,0.0,0.0,459.5780154113292,421.26266008075646,473.2071103010203,485.8266755324677,511.23666885838634,524.7242108653352,4614651.315338575
ci_capital_cost_hydrogen_storage,0.0,0.0,288.0739088057568,280.48559399947,331.2507531477077,317.7142516087646,324.6301708536458,282.62945202871447,211675.62900337006
ci_capital_cost_onwind,0.0,554878918.1808112,333258518.6335855,333256368.8105206,333289886.1141408,333269793.7330443,337345045.8075473,333971689.9847228,321035255.9897361
ci_capital_cost_solar,0.0,135874454.1592041,208196779.5015124,208200672.41407508,208161166.00563744,208186844.89441147,198648781.58039013,187914441.42909536,190035922.31703758
ci_clean_excess_total,0.0,1951727.3913157126,1951725.9190883348,1951726.305061169,1951725.9496196115,1951726.1854019244,1951726.007073858,1951726.4459443502,1951727.7726029824
ci_clean_total,0.0,9758640.000051375,10936555.715216395,10936609.09019094,10936270.029745948,10936481.321930889,11216720.624391275,11490873.79385265,11710367.74921507
ci_clean_used_grid_total,7710923.998315236,1280085.6052248138,454176.4518477117,454521.1279614755,455724.89857782517,458458.30077672075,298474.44128960854,121907.65608244576,0.14608742569038435
ci_clean_used_local_total,0.0,7806912.608735664,8984829.79612806,8984882.78512977,8984544.080126336,8984755.136528965,9264994.617317416,9539147.3479083,9758639.976612087
ci_clean_used_total,7710923.998315236,9086998.213960478,9439006.247975772,9439403.913091246,9440268.978704162,9443213.437305685,9563469.058607025,9661055.003990745,9758640.122699512
ci_cost_adv_geothermal,0.0,0.0,1192.4382521785437,1221.8804080919642,1207.1865272845685,1380.7578977564724,1516.3913886668595,1812.8835815200675,7508.313806417743
ci_cost_allam_ccs,0.0,0.0,132453371.7513541,132453354.51482007,132424405.36962864,132441093.38690633,190434910.97129855,262182677.62381852,383794020.5752272
ci_cost_battery_inverter,0.0,0.0,44364377.2483896,44364708.80114994,44359774.21150596,44363643.28311515,41954018.53477456,34940989.91743727,12678332.559413683
ci_cost_battery_storage,0.0,0.0,78503205.04395337,78509466.02774136,78492581.21214512,78503127.43949041,73002493.40792315,67118106.7816093,58405220.468746625
ci_cost_grid,1477579338.9103982,326718082.27109087,121474732.72375783,121466595.06324378,121517959.5650633,121486035.98957564,78486356.76158679,35910665.04014723,17.455983482144653
ci_cost_hydrogen_electrolysis,0.0,0.0,512.1985140349502,465.0549110469197,531.1055433969195,534.8859474091153,520.8851200371068,402.9045234288742,197125.5799233388
ci_cost_hydrogen_fuel_cell,0.0,0.0,459.5780154113292,421.26266008075646,473.2071103010203,485.8266755324677,511.23666885838634,524.7242108653352,4614651.315338575
ci_cost_hydrogen_storage,0.0,0.0,288.0739088057568,280.48559399947,331.2507531477077,317.7142516087646,324.6301708536458,282.62945202871447,211675.62900337006
ci_cost_onwind,0.0,554987996.7871486,333349356.55990154,333347206.10309637,333380734.5593393,333360634.1510934,337437341.9349536,334064590.19289744,321124702.75427246
ci_cost_solar,0.0,135899321.48831302,208237116.6027365,208241010.15860158,208201496.08773243,208227180.13195854,198687311.1593566,187951179.25167775,190073001.70138863
ci_demand_total,9758640.0,9758640.0,9758640.0,9758640.0,9758640.0,9758640.0,9758640.0,9758640.0,9758640.0
ci_emission_rate_local,0.1019098042648156,0.03166846284939078,0.013779534838933925,0.01382051774118737,0.013779855364344885,0.013781486582316144,0.00972438093503549,0.005326751001855937,9.509665734901291e-11
ci_emission_rate_myopic,0.0927714226365534,0.024307196229798538,0.010932966403052767,0.010926160441386794,0.010939632149232728,0.010929924196170039,0.006828156877986035,0.0030848851589042356,1.3833295230447526e-10
ci_emission_rate_true,0.1482641133428634,0.04562286303313039,0.0195348777556995,0.019557124824182696,0.019539214224743993,0.01953009123634021,0.01300958432799586,0.006547331493799596,1.6678320994430652e-10
ci_emissions,1446856.1070322006,445217.0961096275,190633.83946187937,190850.94059426215,190676.1575021557,190587.12954259905,126955.85000655355,63893.051008652496,0.001627577303890907
ci_fraction_clean,0.0,1.0000000000052647,1.1207049051114084,1.120710374620945,1.1206756299797869,1.1206972817862826,1.1494143266265868,1.1775077053618792,1.1999999743012417
ci_fraction_clean_excess,0.0,0.19999993762611518,0.1999997867621241,0.19999982631403238,0.19999978989076464,0.19999981405215525,0.19999979577829063,0.19999984075079624,0.19999997669787822
ci_fraction_clean_used,0.7901637931428186,0.9311746528164251,0.9672460760900876,0.9672868261449593,0.9673754722691033,0.9676772006453446,0.9800001904575868,0.9900001438715584,1.0000000125734234
ci_fraction_clean_used_grid,0.7901637931428186,0.13117459043727547,0.0465409577408032,0.046576277838046645,0.04669963218008095,0.046979732911217216,0.030585659609290695,0.01249227926047541,1.4970059935645167e-08
ci_fraction_clean_used_local,0.0,0.8000000623791496,0.9207051183492844,0.9207105483069127,0.9206758400890223,0.9206974677341274,0.9494145308482961,0.9775078646110831,0.9999999976033636
ci_generation_H2_Fuel_Cell,-0.0,-0.0,7.728909427163782,6.981356600722869,7.920280258852344,8.019101642199793,7.606275053575042,5.843744393435317,2600.0979568766197
ci_generation_adv_geothermal,0.0,0.0,11.077394462319916,11.414163572888924,11.241777105734123,12.781627803690409,14.36670016212044,17.626580569259875,78.87057150054142
ci_generation_allam_ccs,0.0,0.0,914815.2656986383,914804.7547165628,914649.5528288803,914735.691319569,1275775.806787465,1682288.723856023,2085653.996946771
ci_generation_battery_discharger,-0.0,-0.0,1627864.3129012797,1626903.896396106,1630722.9934427894,1627281.2953702714,1562112.2895016451,1405220.0750914535,992977.17167172
ci_generation_onwind,0.0,7271907.089159929,6055861.754402321,6055819.505051297,6056563.013233655,6056027.869939831,6153075.160421583,6193347.211644149,5963117.635757175
ci_generation_solar,0.0,2486732.910891447,4033710.122409731,4033774.4526499338,4033008.209498673,4033523.75470597,3852957.8966475073,3673782.2582387524,3707938.435105599
ci_marginal_cost_adv_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ci_marginal_cost_allam_ccs,0.0,0.0,75773809.63734943,75772939.01659706,75760083.7017225,75767218.52100311,105672037.56664765,139343351.92709666,172753948.1026577
ci_marginal_cost_grid,1477579338.9103982,326718082.27109087,121474732.72375783,121466595.06324378,121517959.5650633,121486035.98957564,78486356.76158679,35910665.04014723,17.455983482144653
ci_marginal_cost_onwind,0.0,109078.60633739876,90837.92631603466,90837.2925757693,90848.44519850468,90840.41804909732,92296.12740632359,92900.20817466208,89446.76453635748
ci_marginal_cost_solar,0.0,24867.32910891449,40337.10122409734,40337.744526499366,40330.08209498676,40335.23754705973,38529.5789664751,36737.82258238755,37079.38435105602
ci_revenue_grid,0.0,301403280.8754503,304041237.7311281,304041077.5001131,304034751.6238713,304040472.81191456,303562693.34196913,296293233.9353963,279894999.2091678
ci_total_cost,1477579338.9103982,1017605400.5465525,918384612.2187835,918384729.3522263,918379493.7553489,918384433.5669119,920005305.9132415,922171231.9493552,971106256.353104
co2_price,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
emissions,300962495.74676865,296476134.50911045,296219045.3993983,296219146.2506695,296218581.091759,296219071.2202245,296094673.2081583,295934056.06547755,295749545.9173219
emissions_zone,15.513216119542108,13.273887557144672,12.890684151834149,12.909533957040276,12.88369280168578,12.879574443055883,12.794272040272162,12.868335824885948,12.921740634012997
objective,165366464248.83014,164615766005.95584,164509786331.3243,164509789995.43472,164509796656.2923,164509804484.33188,164512560539.4311,164522797151.03333,164589299776.4169
system_emission_rate,0.09391097070102723,0.09251106691002974,0.0924308459915069,0.09243087746067974,0.09243070111105925,0.09243085404852017,0.09239203745764425,0.09234191921369851,0.0922843455048068
system_emissions,100320831.91558951,98825378.16970335,98739681.79979931,98739715.41688979,98739527.03058621,98739690.40674126,98698224.40271926,98644685.35515907,98583181.97244066
system_grid_cfe_wavg,0.7755077487448647,0.7939075563306295,0.7946671167718079,0.7947517869014583,0.7951990281605545,0.7962116471066019,0.7971740343357958,0.7977318605853108,0.799023631135337
system_inv_H2_Electrolysis-2030,7902.980143409561,7898.360337615176,7980.532200745167,7980.365726849008,7980.752776292637,7980.5458277551525,7981.659349901302,7962.199068129153,7909.234428410155
system_inv_H2_Fuel_Cell-2030,1732.3765982579437,1740.2672153343563,1754.405901943259,1754.4334403401924,1754.3257102669932,1754.3708529969742,1754.3068323958314,1751.9042149387121,1741.0222867678976
system_inv_OCGT-2030,69682.38505011224,69228.7507049189,68684.72228114997,68684.69546881334,68684.92141034832,68684.7922991839,68597.6989926723,68548.37660066293,68428.98466395348
system_inv_battery_charger-2030,28053.06872067055,28188.665307284922,26823.158860653653,26823.207077197218,26824.982664638457,26823.54359189005,26895.792442207097,27072.045028346678,27648.34502334347
system_inv_battery_discharger-2030,28631.540362147374,28769.93303431013,27376.268999519954,27376.31821031849,27378.130411471837,27376.66166415259,27450.400330484197,27630.28735404786,28218.471011663118
system_inv_offwind-ac-2030,6003.449427010176,6075.209880054422,6105.324950097162,6105.315085009761,6105.358319701012,6105.347791457995,6103.116618272657,6101.49507003716,6097.54931095771
system_inv_offwind-dc-2030,58181.66047682136,58181.6741186702,58181.6583780737,58181.674643287566,58181.66614234151,58181.67070149952,58181.67136850862,58181.68889222243,58181.664524326145
system_inv_onwind-2030,218646.44294462036,219108.13944323594,219495.17149758548,219495.09064102202,219495.13568752995,219494.6608244239,219494.22153559577,219459.4531964772,219508.32568524574
system_inv_solar-2030,390500.8446771296,389432.4387245203,388441.6757603154,388441.06281688076,388442.55704583484,388442.6356944862,388446.6432951979,388615.24417317496,388719.84923139046
system_inv_solar_rooftop-2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zone_average_marginal_price,151.41242416057958,149.17182820010572,148.2996552162453,148.29972982601382,148.29962943214647,148.299749555377,148.2204628715039,148.21759725575637,148.17947710424855
